Data Medicao,Hora Medicao,PRECIPITACAO TOTAL. HORARIO(mm),PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA(mB),PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR. AUT(mB),PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB),PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB),TEMPERATURA DA CPU DA ESTACAO(Celsius),TEMPERATURA DO AR - BULBO SECO. HORARIA(Celsius),TEMPERATURA DO PONTO DE ORVALHO(°C),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(Celsius),TEMPERATURA MINIMA NA HORA ANT. (AUT)(Celsius),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(Celsius),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(Celsius),TENSAO DA BATERIA DA ESTACAO(V),UMIDADE REL. MAX. NA HORA ANT. (AUT)(%),UMIDADE REL. MIN. NA HORA ANT. (AUT)(%),UMIDADE RELATIVA DO AR. HORARIA(%),VENTO DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s);
2021-07-02,1000,0,889.2,1029.1428119999998,889.3,888.9,11,11.1,8.3,11.2,10.1,8.6,7.6,12.6,85,82,83,130,11.7,8.8
2021-07-02,1100,0,889.7,1028.566251,889.7,889.2,13,13.3,8.6,13.4,11.0,9.1,8.1,14.4,83,73,73,125,11.7,8.8
2021-07-02,1200,0,890.4,1028.5465570000001,890.4,889.6,15,14.9,9.1,15.1,13.3,9.4,7.9,14.4,74,67,68,119,11.2,8.4
2021-07-02,1300,0,890.8,1027.833622,890.8,890.4,18,17.2,9.5,17.4,14.5,10.0,8.6,14.4,69,59,60,110,10.7,6.6
2021-07-02,1400,0,890.4,1026.217392,890.8,890.4,20,19.5,9.7,19.5,17.1,10.0,8.2,14.3,60,52,53,107,9.0,3.4
2021-07-02,1500,0,889.7,1025.06331,890.4,889.7,22,20.2,6.7,20.4,16.5,10.0,6.6,14.3,57,42,42,59,7.5,3.9
2021-07-02,1600,0,889.1,1025.569439,889.7,889.1,23,17.8,7.4,21.2,17.4,7.7,5.5,14.3,52,38,51,70,6.4,2.3
2021-07-02,1700,0,888.3,1024.5963769999998,889.1,888.3,22,17.9,6.9,18.7,17.4,7.6,5.9,14.4,51,45,48,68,5.2,2.4
2021-07-02,1800,0,888.0,1024.552417,888.4,888.0,22,17.3,7.1,18.1,17.1,7.3,6.4,14.4,51,47,51,108,6.6,4.2
2021-07-02,1900,0,888.2,1025.289721,888.2,888.0,21,16.3,6.7,17.5,16.3,7.4,6.7,13.8,53,50,53,105,6.9,4.8
2021-07-02,2000,0,888.5,1025.992967,888.5,888.2,19,15.6,6.1,16.3,15.6,6.7,6.1,13.6,54,52,53,109,7.4,3.5
2021-07-02,2100,0,888.6,1026.570155,888.7,888.5,18,14.7,5.1,15.6,14.7,6.2,4.6,12.7,55,48,53,128,6.4,2.3
2021-07-02,2200,0,888.8,1026.852713,888.8,888.6,16,14.6,5.1,15.0,14.2,5.6,5.1,12.7,56,52,53,79,3.9,2.9
2021-07-02,2300,0,889.0,1027.809051,889.1,888.8,15,13.2,5.8,14.6,13.1,5.8,5.0,12.6,61,53,61,106,5.0,3.7
2021-07-03,0,0,888.9,1023.8544052460059,889.1,888.9,14,12.4,5.3,13.8,12.4,6.0,5.3,12.6,62,58,62,106,6.0,4.1
2021-07-03,100,0,888.8,1028.205426,888.9,888.8,14,12.0,5.6,12.4,12.0,5.9,5.4,12.6,65,62,65,114,6.1,4.8
2021-07-03,200,0,888.6,1028.026601,888.8,888.5,13,11.9,5.4,12.0,11.8,5.7,5.4,12.6,66,65,65,122,7.1,5.2
2021-07-03,300,0,888.4,1027.79522,888.6,888.4,12,11.9,5.3,12.0,11.4,5.5,5.1,12.6,66,64,64,123,6.3,4.9
2021-07-03,400,0,888.6,1027.9740570000001,888.7,888.4,12,12.0,5.2,12.2,11.5,5.5,5.1,12.6,65,63,63,146,6.2,4.6
2021-07-03,500,0,888.0,1027.437594,888.6,888.0,12,11.7,5.2,12.1,11.6,5.5,5.0,12.5,65,63,64,133,5.6,4.8
2021-07-03,600,0,887.5,1027.122469,888.0,887.5,12,11.2,5.0,11.7,11.2,5.3,5.0,12.5,66,64,66,140,6.0,4.3
2021-07-03,700,0,887.2,1026.511974,887.5,887.2,12,11.7,5.2,11.7,11.1,5.5,5.1,12.5,67,64,64,122,5.3,3.7
2021-07-03,800,0,887.3,1026.6802630000002,887.4,887.2,12,11.6,4.7,12.4,11.6,5.4,4.6,12.4,64,61,63,130,5.3,3.1
2021-07-03,900,0,887.6,1027.185438,887.6,887.3,12,11.3,4.9,11.9,11.2,5.2,4.6,12.4,65,63,64,127,5.0,2.7
2021-07-03,1000,0,888.2,1027.144777,888.2,887.6,12,12.7,5.1,12.7,11.3,5.2,4.7,12.5,65,60,60,117,4.8,3.2
2021-07-03,1100,0,888.6,1026.879688,888.6,888.2,13,14.1,5.7,14.1,12.3,5.7,4.8,13.8,61,57,57,111,4.9,1.9
2021-07-03,1200,0,889.2,1026.2915369999998,889.3,888.6,15,16.6,5.9,16.8,14.0,6.6,5.0,14.3,57,49,49,84,3.3,2.0
2021-07-03,1300,0,889.5,1026.1820710000002,889.5,889.2,18,17.5,5.0,17.8,15.3,6.6,3.9,14.4,50,44,44,64,4.9,1.5
2021-07-03,1400,0,888.9,1025.0875939999999,889.5,888.9,21,18.3,5.2,19.6,16.9,5.5,3.5,14.3,47,37,42,138,5.8,1.9
2021-07-03,1500,0,888.1,1023.566561,888.9,888.1,23,19.5,4.3,19.9,18.0,6.0,3.6,14.3,42,37,37,99,6.1,3.1
2021-07-03,1600,0,887.4,1022.958533,888.1,887.3,24,19.1,4.5,20.8,18.2,5.7,3.2,14.3,40,35,38,152,5.8,1.5
2021-07-03,1700,0,886.5,1021.52454,887.4,886.5,24,19.9,3.7,21.3,19.0,5.1,3.2,14.3,38,33,34,296,6.3,2.9
2021-07-03,1800,0,886.0,1020.997793,886.6,886.0,24,19.8,4.1,21.3,19.2,5.3,3.1,14.3,37,33,36,66,6.3,2.4
2021-07-03,1900,0,886.2,1021.475911,886.2,885.9,24,19.3,4.4,20.3,19.2,5.0,3.7,14.3,38,35,38,99,5.0,0.8
2021-07-03,2000,0,886.4,1022.6057199999999,886.4,886.1,23,17.5,4.5,19.5,17.5,5.2,4.4,14.4,42,38,42,143,3.0,1.4
2021-07-03,2100,0,886.8,1023.470889,886.8,886.4,20,16.7,4.9,17.5,16.0,5.2,4.4,13.0,49,42,46,105,3.3,1.5
2021-07-03,2200,0,886.9,1024.709028,886.9,886.7,18,14.5,5.9,17.0,14.5,6.0,4.1,12.7,56,44,56,108,6.6,4.5
2021-07-03,2300,0,887.1,1025.30129,887.1,886.8,16,13.8,5.6,14.6,13.8,6.0,5.6,12.7,58,56,58,119,7.2,4.1
